"grp","val"
"G1",12.2538259109943
"G1",11.8431513563337
"G1",12.6802362235344
"G1",11.9229993519422
"G1",11.9621521620341
"G1",12.0288210456109
"G1",9.74078105511435
"G1",11.9297078551034
"G1",10.7730746059543
"G1",13.4582661767672
"G1",11.9727100926728
"G1",13.3544215765463
"G1",11.6794691327569
"G1",11.1387818880197
"G1",12.0670217165224
"G1",11.9348944543745
"G1",12.1951431517148
"G1",12.026581664408
"G1",12.3331947283573
"G1",11.9712175305894
"G2",6.22408179743946
"G2",5.35981382705736
"G2",5.40077145059405
"G2",5.11068271594512
"G2",4.44415886524593
"G2",6.78691313680308
"G2",5.49785047822924
"G2",3.03338284337036
"G2",5.70135590156369
"G2",4.52720859227207
"G2",3.93217629401315
"G2",4.78202508534171
"G2",3.97399555169276
"G2",4.27110877070886
"G2",4.37496073215074
"G2",3.31330668925759
"G2",5.83778704449453
"G2",5.15337311783651
"G2",3.86186306298805
"G2",6.25381492106993
"G3",5.84702367598965
"G3",5.31311974846021
"G3",5.41267960585233
"G3",6.2496944225466
"G3",6.10549854336396
"G3",5.96838512076052
"G3",5.45718007459298
"G3",5.72314795547871
"G3",5.0093800755243
"G3",5.36378768141126
"G3",5.39080164104613
"G3",6.71895116775436
"G3",5.02118552722435
"G3",5.82614012743083
"G3",5.06963709978189
"G3",5.44278676806767
"G3",5.24112213228507
"G3",5.47014547796383
"G3",5.71422531338701
"G3",5.03334970973464
"G4",8.20283175811844
"G4",8.4757009279345
"G4",9.77613101911734
"G4",10.0009930437055
"G4",8.94786413991058
"G4",13.2886409679362
"G4",8.31088213850783
"G4",9.8947775559185
"G4",10.0991656290987
"G4",9.56561901686309
"G4",10.8421866719143
"G4",13.061542509201
"G4",8.95888999918854
"G4",8.59961636776317
"G4",8.75715143365207
"G4",10.3543423573779
"G4",9.49241831468753
"G4",8.37747017575237
"G4",8.69452178062516
"G4",9.50706796357841
"G5",10.3852804011263
"G5",9.62933996820759
"G5",10.6443765485188
"G5",9.77951343818125
"G5",10.3317819639157
"G5",11.0968390131493
"G5",10.4351814908338
"G5",9.67406841446877
"G5",11.1488076184511
"G5",10.9935038559621
"G5",10.5483969595081
"G5",10.2387317351114
"G5",9.37209392396063
"G5",11.36065244853
"G5",9.39974041285287
"G5",12.1873329930166
"G5",11.5326106261852
"G5",9.76429964089952
"G5",8.97357909969322
"G5",9.2895934363007
"G6",6.39333248399636
"G6",2.76741092536189
"G6",7.63290131038485
"G6",6.92099353274067
"G6",7.43960258665943
"G6",7.25491429977886
"G6",7.11882753505894
"G6",7.12012896286773
"G6",10.5414060453316
"G6",7.20376097983869
"G6",7.16152876334988
"G6",6.6721898190387
"G6",7.03017379691881
"G6",6.72626936154792
"G6",7.39834752161907
"G6",7.6799763240168
"G6",6.87391302273316
"G6",6.94788273933279
"G6",7.24570627830863
"G6",6.97543905862548
