"grp","val"
"G1",3.93952435344779
"G1",4.26982251051672
"G1",6.05870831414912
"G1",4.57050839142458
"G1",4.62928773516095
"G1",6.21506498688328
"G1",4.9609162059892
"G1",3.23493876539347
"G1",3.81314714810647
"G1",4.05433802990004
"G1",5.72408179743946
"G1",4.85981382705736
"G1",4.90077145059405
"G1",4.61068271594512
"G1",3.94415886524592
"G1",6.28691313680308
"G1",4.99785047822924
"G1",2.53338284337036
"G1",5.20135590156369
"G1",4.02720859227207
"G2",4.93217629401316
"G2",5.78202508534171
"G2",4.97399555169276
"G2",5.27110877070886
"G2",5.37496073215074
"G2",4.31330668925759
"G2",6.83778704449453
"G2",6.15337311783651
"G2",4.86186306298805
"G2",7.25381492106993
"G2",6.42646422147681
"G2",5.70492851700773
"G2",6.89512566104502
"G2",6.87813348753304
"G2",6.82158108163749
"G2",6.68864025410009
"G2",6.55391765353759
"G2",5.93808828942328
"G2",5.69403733626008
"G2",5.61952899898762
"G3",2.30529302107949
"G3",2.7920827219804
"G3",1.73460364843174
"G3",5.16895596533851
"G3",4.20796199830499
"G3",1.87689141679665
"G3",2.59711516470092
"G3",2.53334464637678
"G3",3.77996511833632
"G3",2.91663093352817
"G3",3.25331851399475
"G3",2.9714532446513
"G3",2.95712954270868
"G3",4.36860228401446
"G3",2.77422901434073
"G3",4.51647060442954
"G3",1.45124719576978
"G3",3.58461374963607
"G3",3.12385424384461
"G3",3.21594156874397
"G4",5.37963948275988
"G4",4.4976765468907
"G4",4.66679261633058
"G4",3.98142461689291
"G4",3.92820877352442
"G4",5.30352864140426
"G4",5.44820977862943
"G4",5.0530042267305
"G4",5.92226746787974
"G4",7.05008468562714
"G4",4.50896883394346
"G4",2.69083112435919
"G4",6.00573852446226
"G4",4.29079923741761
"G4",4.31199138353264
"G4",6.0255713696967
"G4",4.71522699294899
"G4",3.77928228774546
"G4",5.18130347974915
"G4",4.86110863756096
"G5",6.00576418589989
"G5",6.38528040112633
"G5",5.62933996820759
"G5",6.64437654851883
"G5",5.77951343818125
"G5",6.3317819639157
"G5",7.09683901314935
"G5",6.4351814908338
"G5",5.67406841446877
"G5",7.14880761845109
"G5",6.99350385596212
"G5",6.54839695950807
"G5",6.23873173511144
"G5",5.37209392396063
"G5",7.36065244853001
"G5",5.39974041285287
"G5",8.18733299301658
"G5",7.53261062618519
"G5",5.76429964089952
"G5",4.97357909969322
